0.1*mean
Rank	Feature Name	Feature Importance
200	ProductInfo_27	0.0005
201	UserInfo_98	0.0005
202	ProductInfo_138	0.0005
203	ProductInfo_182	0.0005
204	UserInfo_26	0.000416667
205	ProductInfo_208	0.000416667
206	ProductInfo_16	0.000416667
207	UserInfo_86	0.000416667
208	ProductInfo_148	0.000416667
209	ProductInfo_65	0.000416667
210	ProductInfo_67	0.000416667
211	UserInfo_35	0.000416667
212	ProductInfo_194	0.000416667
213	ProductInfo_101	0.000416667
214	ProductInfo_33	0.000416667
215	ProductInfo_36	0.000416667
216	UserInfo_9	0.000333333
217	ProductInfo_157	0.000333333
218	UserInfo_171	0.000333333
219	ProductInfo_54	0.000333333
220	ProductInfo_50	0.000333333
221	ProductInfo_200	0.000333333
222	UserInfo_69	0.000333333
223	ProductInfo_13	0.000333333
224	ProductInfo_12	0.000333333
225	UserInfo_244	0.000333333
226	ProductInfo_145	0.000333333
227	ProductInfo_66	0.000333333
228	ProductInfo_108	0.000333333
229	ProductInfo_109	0.000333333
230	UserInfo_91	0.000333333
231	UserInfo_151	0.000333333
232	ProductInfo_164	0.000333333
233	ProductInfo_49	0.000333333
234	ProductInfo_38	0.000333333
235	UserInfo_131	0.00025
236	ProductInfo_93	0.00025
237	ProductInfo_150	0.00025
238	ProductInfo_203	0.00025
239	ProductInfo_114	0.00025
240	ProductInfo_113	0.00025
241	UserInfo_87	0.00025
242	UserInfo_249	0.00025
243	UserInfo_168	0.00025
244	ProductInfo_197	0.00025
245	ProductInfo_177	0.00025
246	UserInfo_156	0.00025
247	UserInfo_155	0.00025
248	UserInfo_43	0.00025
249	ProductInfo_87	0.00025
250	ProductInfo_185	0.00025
251	UserInfo_214	0.00025
252	UserInfo_219	0.00025
253	ProductInfo_44	0.00025
254	ProductInfo_41	0.00025
255	ProductInfo_39	0.00025
256	UserInfo_225	0.000166667
257	ProductInfo_99	0.000166667
258	UserInfo_6	0.000166667
259	ProductInfo_153	0.000166667
260	UserInfo_175	0.000166667
261	UserInfo_120	0.000166667
262	UserInfo_235	0.000166667
263	UserInfo_195	0.000166667
264	UserInfo_246	0.000166667
265	WebInfo_2	0.000166667
266	UserInfo_34	0.000166667
267	ProductInfo_191	0.000166667
268	ProductInfo_103	0.000166667
269	UserInfo_204	0.000166667
270	ProductInfo_23	0.000166667
271	UserInfo_95	0.000166667
272	ProductInfo_79	0.000166667
273	ProductInfo_71	0.000166667
274	ProductInfo_189	0.000166667
275	ProductInfo_166	0.000166667
276	ProductInfo_162	0.000166667
277	ProductInfo_31	0.000166667
278	ProductInfo_34	0.000166667
279	UserInfo_224	8.33333e-05
280	UserInfo_53	8.33333e-05
281	ProductInfo_97	8.33333e-05
282	ProductInfo_96	8.33333e-05
283	ProductInfo_152	8.33333e-05
284	UserInfo_21	8.33333e-05
285	ProductInfo_201	8.33333e-05
286	ProductInfo_119	8.33333e-05
287	ProductInfo_115	8.33333e-05
288	UserInfo_233	8.33333e-05
289	UserInfo_64	8.33333e-05
290	UserInfo_190	8.33333e-05
291	ProductInfo_5	8.33333e-05
292	UserInfo_247	8.33333e-05
293	UserInfo_245	8.33333e-05
294	ProductInfo_61	8.33333e-05
295	ProductInfo_62	8.33333e-05
296	ProductInfo_68	8.33333e-05
297	UserInfo_252	8.33333e-05
298	ProductInfo_216	8.33333e-05
299	UserInfo_118	8.33333e-05
300	UserInfo_205	8.33333e-05
301	UserInfo_79	8.33333e-05
302	ProductInfo_174	8.33333e-05
303	ProductInfo_171	8.33333e-05
304	UserInfo_93	8.33333e-05
305	ProductInfo_139	8.33333e-05
306	UserInfo_255	8.33333e-05
307	UserInfo_46	8.33333e-05
308	ProductInfo_180	8.33333e-05
309	ProductInfo_186	8.33333e-05
310	UserInfo_138	0.0
311	ProductInfo_121	0.0
312	ProductInfo_123	0.0
313	ProductInfo_124	0.0
314	ProductInfo_125	0.0
315	ProductInfo_126	0.0
316	ProductInfo_128	0.0
317	ProductInfo_129	0.0
318	UserInfo_141	0.0
319	UserInfo_140	0.0
320	UserInfo_142	0.0
321	UserInfo_223	0.0
322	UserInfo_58	0.0
323	UserInfo_59	0.0
324	UserInfo_56	0.0
325	ProductInfo_91	0.0
326	ProductInfo_92	0.0
327	ProductInfo_95	0.0
328	ProductInfo_94	0.0
329	UserInfo_1	0.0
330	UserInfo_4	0.0
331	UserInfo_228	0.0
332	UserInfo_221	0.0
333	ProductInfo_158	0.0
334	ProductInfo_155	0.0
335	ProductInfo_154	0.0
336	ProductInfo_156	0.0
337	UserInfo_178	0.0
338	UserInfo_173	0.0
339	UserInfo_174	0.0
340	UserInfo_176	0.0
341	UserInfo_177	0.0
342	ProductInfo_55	0.0
343	ProductInfo_56	0.0
344	ProductInfo_51	0.0
345	ProductInfo_52	0.0
346	ProductInfo_59	0.0
347	ProductInfo_58	0.0
348	UserInfo_24	0.0
349	UserInfo_29	0.0
350	ProductInfo_212	0.0
351	ProductInfo_213	0.0
352	ProductInfo_9	0.0
353	ProductInfo_202	0.0
354	ProductInfo_205	0.0
355	ProductInfo_204	0.0
356	ProductInfo_207	0.0
357	ProductInfo_206	0.0
358	ProductInfo_209	0.0
359	UserInfo_126	0.0
360	UserInfo_123	0.0
361	UserInfo_129	0.0
362	ProductInfo_118	0.0
363	ProductInfo_111	0.0
364	ProductInfo_110	0.0
365	ProductInfo_112	0.0
366	UserInfo_230	0.0
367	UserInfo_237	0.0
368	UserInfo_236	0.0
369	UserInfo_61	0.0
370	UserInfo_65	0.0
371	UserInfo_191	0.0
372	ProductInfo_19	0.0
373	ProductInfo_18	0.0
374	ProductInfo_8	0.0
375	ProductInfo_11	0.0
376	ProductInfo_10	0.0
377	ProductInfo_15	0.0
378	UserInfo_89	0.0
379	UserInfo_85	0.0
380	UserInfo_84	0.0
381	ProductInfo_147	0.0
382	ProductInfo_144	0.0
383	ProductInfo_142	0.0
384	ProductInfo_143	0.0
385	ProductInfo_141	0.0
386	ProductInfo_149	0.0
387	UserInfo_163	0.0
388	UserInfo_162	0.0
389	UserInfo_166	0.0
390	UserInfo_164	0.0
391	ProductInfo_60	0.0
392	ProductInfo_63	0.0
393	ProductInfo_64	0.0
394	UserInfo_30	0.0
395	UserInfo_31	0.0
396	ProductInfo_195	0.0
397	ProductInfo_196	0.0
398	ProductInfo_190	0.0
399	ProductInfo_193	0.0
400	ProductInfo_214	0.0
401	ProductInfo_215	0.0
402	ProductInfo_198	0.0
403	ProductInfo_211	0.0
404	UserInfo_117	0.0
405	UserInfo_115	0.0
406	UserInfo_119	0.0
407	ProductInfo_102	0.0
408	ProductInfo_100	0.0
409	ProductInfo_106	0.0
410	ProductInfo_107	0.0
411	ProductInfo_104	0.0
412	ProductInfo_105	0.0
413	UserInfo_258	0.0
414	UserInfo_77	0.0
415	UserInfo_74	0.0
416	UserInfo_70	0.0
417	UserInfo_185	0.0
418	ProductInfo_179	0.0
419	ProductInfo_178	0.0
420	ProductInfo_176	0.0
421	ProductInfo_175	0.0
422	ProductInfo_173	0.0
423	UserInfo_181	0.0
424	ProductInfo_24	0.0
425	ProductInfo_25	0.0
426	ProductInfo_26	0.0
427	ProductInfo_20	0.0
428	ProductInfo_21	0.0
429	ProductInfo_22	0.0
430	ProductInfo_28	0.0
431	ProductInfo_29	0.0
432	UserInfo_99	0.0
433	UserInfo_90	0.0
434	UserInfo_94	0.0
435	ProductInfo_132	0.0
436	ProductInfo_131	0.0
437	ProductInfo_137	0.0
438	ProductInfo_136	0.0
439	ProductInfo_135	0.0
440	UserInfo_154	0.0
441	UserInfo_256	0.0
442	UserInfo_251	0.0
443	UserInfo_158	0.0
444	UserInfo_47	0.0
445	UserInfo_44	0.0
446	UserInfo_42	0.0
447	UserInfo_41	0.0
448	ProductInfo_82	0.0
449	ProductInfo_83	0.0
450	ProductInfo_81	0.0
451	ProductInfo_86	0.0
452	ProductInfo_85	0.0
453	ProductInfo_88	0.0
454	ProductInfo_76	0.0
455	ProductInfo_75	0.0
456	ProductInfo_74	0.0
457	ProductInfo_73	0.0
458	ProductInfo_72	0.0
459	ProductInfo_183	0.0
460	ProductInfo_181	0.0
461	ProductInfo_187	0.0
462	ProductInfo_184	0.0
463	ProductInfo_188	0.0
464	UserInfo_264	0.0
465	UserInfo_266	0.0
466	UserInfo_260	0.0
467	UserInfo_215	0.0
468	UserInfo_217	0.0
469	ProductInfo_1	0.0
470	ProductInfo_3	0.0
471	ProductInfo_2	0.0
472	ProductInfo_168	0.0
473	ProductInfo_6	0.0
474	ProductInfo_165	0.0
475	ProductInfo_160	0.0
476	ProductInfo_163	0.0
477	UserInfo_103	0.0
478	UserInfo_102	0.0
479	ProductInfo_46	0.0
480	ProductInfo_45	0.0
481	ProductInfo_42	0.0
482	ProductInfo_43	0.0
483	ProductInfo_40	0.0
484	UserInfo_14	0.0
485	UserInfo_198	0.0
486	ProductInfo_32	0.0
487	ProductInfo_30	0.0
488	ProductInfo_37	0.0
489	UserInfo_192	0.0
