Rank	Feature Name	Feature Importance
151	ProductInfo_192	2.43873117058e-05
152	UserInfo_91	2.25600147397e-05
153	UserInfo_155	1.97572838231e-05
154	UserInfo_39	1.32079040382e-05
155	UserInfo_209	1.30590848864e-05
156	ProductInfo_92	1.00959444255e-05
157	UserInfo_191	8.82551298491e-06
158	UserInfo_196	5.41787854624e-06
159	UserInfo_79	3.78046141421e-06
160	ProductInfo_61	3.36814002394e-06
161	ProductInfo_161	2.47149310679e-06
162	ProductInfo_41	1.18759388386e-06
163	ProductInfo_113	5.17386383721e-07
164	UserInfo_268	3.80145974815e-07
165	UserInfo_31	1.98682697937e-07
166	ProductInfo_89	1.60086537001e-07
167	ProductInfo_83	4.40404424625e-08
168	UserInfo_135	0.0
169	UserInfo_136	0.0
170	UserInfo_131	0.0
171	UserInfo_132	0.0
172	UserInfo_138	0.0
173	UserInfo_139	0.0
174	ProductInfo_120	0.0
175	ProductInfo_121	0.0
176	ProductInfo_122	0.0
177	ProductInfo_124	0.0
178	ProductInfo_125	0.0
179	ProductInfo_126	0.0
180	ProductInfo_128	0.0
181	ProductInfo_129	0.0
182	UserInfo_141	0.0
183	UserInfo_143	0.0
184	UserInfo_142	0.0
185	UserInfo_146	0.0
186	UserInfo_148	0.0
187	UserInfo_223	0.0
188	UserInfo_225	0.0
189	UserInfo_59	0.0
190	UserInfo_54	0.0
191	UserInfo_56	0.0
192	UserInfo_57	0.0
193	UserInfo_52	0.0
194	UserInfo_53	0.0
195	ProductInfo_91	0.0
196	ProductInfo_90	0.0
197	ProductInfo_93	0.0
198	ProductInfo_95	0.0
199	ProductInfo_94	0.0
200	ProductInfo_97	0.0
201	ProductInfo_96	0.0
202	ProductInfo_99	0.0
203	UserInfo_2	0.0
204	UserInfo_3	0.0
205	UserInfo_1	0.0
206	UserInfo_6	0.0
207	UserInfo_4	0.0
208	UserInfo_5	0.0
209	UserInfo_8	0.0
210	UserInfo_9	0.0
211	UserInfo_228	0.0
212	UserInfo_229	0.0
213	UserInfo_221	0.0
214	ProductInfo_159	0.0
215	ProductInfo_158	0.0
216	ProductInfo_151	0.0
217	ProductInfo_150	0.0
218	ProductInfo_153	0.0
219	ProductInfo_152	0.0
220	ProductInfo_155	0.0
221	ProductInfo_154	0.0
222	ProductInfo_156	0.0
223	UserInfo_178	0.0
224	UserInfo_179	0.0
225	UserInfo_170	0.0
226	UserInfo_171	0.0
227	UserInfo_172	0.0
228	UserInfo_173	0.0
229	UserInfo_174	0.0
230	UserInfo_175	0.0
231	UserInfo_176	0.0
232	UserInfo_177	0.0
233	ProductInfo_55	0.0
234	ProductInfo_54	0.0
235	ProductInfo_56	0.0
236	ProductInfo_51	0.0
237	ProductInfo_53	0.0
238	ProductInfo_52	0.0
239	ProductInfo_59	0.0
240	UserInfo_21	0.0
241	UserInfo_23	0.0
242	UserInfo_22	0.0
243	UserInfo_29	0.0
244	ProductInfo_212	0.0
245	ProductInfo_213	0.0
246	ProductInfo_9	0.0
247	ProductInfo_201	0.0
248	ProductInfo_200	0.0
249	ProductInfo_203	0.0
250	ProductInfo_202	0.0
251	ProductInfo_205	0.0
252	ProductInfo_204	0.0
253	ProductInfo_207	0.0
254	ProductInfo_206	0.0
255	ProductInfo_209	0.0
256	UserInfo_127	0.0
257	UserInfo_126	0.0
258	UserInfo_124	0.0
259	UserInfo_123	0.0
260	UserInfo_120	0.0
261	UserInfo_129	0.0
262	UserInfo_128	0.0
263	ProductInfo_119	0.0
264	ProductInfo_118	0.0
265	ProductInfo_115	0.0
266	ProductInfo_110	0.0
267	ProductInfo_112	0.0
268	UserInfo_233	0.0
269	UserInfo_232	0.0
270	UserInfo_231	0.0
271	UserInfo_230	0.0
272	UserInfo_236	0.0
273	UserInfo_61	0.0
274	UserInfo_60	0.0
275	UserInfo_63	0.0
276	UserInfo_64	0.0
277	UserInfo_66	0.0
278	UserInfo_190	0.0
279	UserInfo_194	0.0
280	UserInfo_195	0.0
281	ProductInfo_5	0.0
282	ProductInfo_4	0.0
